v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid	Typei	Typeii	unknowntype
602	1994041000006110	" "	300	"High risk of diabetes mellitus annual review declined"	1994041000006106	0	0	1
436	6859611000006119	" "	4	"Insulin-like growth factor binding protein 3 level"	414519004	0	0	1
1361	5587081000006116	" "	4	"Transitory neonatal hypoglycaemia"	276561008	0	0	1
1273	1979741000006115	" "	1	"Liverpool diabetes pilot - support option 3"	1979741000006104	0	0	1
493	250064017	"12G2.00"	2000	"FH: Diabetes in pregnancy"	160402005	0	0	1
366	292645014	"C112z00"	10000	"Hypoglycaemia unspecified NOS"	302866003	0	0	1
914	5110091000006113	" "	10	"Hypoglycaemic state in diabetes"	237633009	0	0	1
1334	3615971000006113	" "	2	"Hypoglycaemia of infancy"	68581004	0	0	1
632	128681000000117	"43Gk.00"	400	"Insulin antibody level"	995751000000100	0	0	1
312	1227774019	"ZV65312"	6000	"[V]Dietary counselling in diabetes mellitus"	284350006	0	0	1
89	2174191000000118	"14O8000"	200000	"High risk of diabetes mellitus"	837491000000107	0	0	1
47	459805012	"R105712"	70000	"Hyperglycaemia"	80394007	0	0	1
173	1927791000006119	" "	20000	"Raised HbA1c level"	1927791000006103	0	0	1
333	817481000006113	"42c2.00"	10000	"Haemoglobin A1c greater than 10% indicating poor diabetic control"	165681007	0	0	1
314	494186019	"C135.12"	900	"Diabetes insipidus - pituitary"	45369008	0	0	1
1497	4832591000006114	" "	1	"Fetal or neonatal effect of placental or breast transfer of hypoglycaemic agent"	206025003	0	0	1
1394	6036701000006116	" "	7	"HbA1c measurement (DCCT aligned)"	313835008	0	0	1
1240	7960921000006113	" "	1	"HbA1c - Glycated haemoglobin-A1c"	733830002	0	0	1
301	26721014	"C135.00"	20000	"Diabetes insipidus"	15771004	0	0	1
1271	2831211000006119	" "	20	"Ketotic hypoglycaemia"	20825002	0	0	1
856	4636411000006110	" "	600	"Diet controlled diabetes mellitus"	170745003	0	0	1
810	147581000006112	"C110100"	40	"Self-induced hyperinsulinism"	190429008	0	0	1
462	404510013	"4545.00"	600	"Insulin tolerance test"	1016041000000104	0	0	1
176	1658941000000115	"8IAs.00"	30000	"Diabetic dietary review declined"	754141000000100	0	0	1
284	292669013	"C11y100"	1000	"Drug-induced hypoglycaemia without coma"	190448007	0	0	1
195	398792011	"C110.00"	6000	"Hypoglycaemic coma"	267384006	0	0	1
1086	62895015	"C111000"	20	"Ectopic hyperinsulinism"	37703005	0	0	1
1369	5110051000006119	" "	1	"Hypoglycemic disorder"	237630007	0	0	1
1244	1658071000006118	" "	2	"Post prandial hypoglycaemia"	1658071000006102	0	0	1
936	8286781000006119	" "	30	"Hyperglycaemia education"	846641000000100	0	0	1
1317	2493341000000118	"38VP.00"	1	"Young Townson FootSkin Scale for Diabetic Neuropathy"	980351000000105	0	0	1
184	2292001000000110	"38Gv.00"	40000	"Diabetes UK Diabetes Risk Score"	1084661000000103	0	0	1
1074	1979331000006114	" "	70	"Did not complete NHS diabetes prevention programme"	1979331000006105	0	0	1
15	457954013	"42W4.00"	20000000	"HbA1c level (Diabetes Control and Complications Trial aligned)"	1019431000000105	0	0	1
437	958021000006118	" "	500	"FH: Diabetes mellitus child"	958021000006102	0	0	1
750	1013701000006119	" "	60	"Adverse reaction to Oral Hypoglycaemic Drugs"	1013701000006103	0	0	1
418	6611491000006110	" "	30000	"Health education - hypoglycaemia"	398772000	0	0	1
492	259705016	"4525.00"	60	"Insulin response test - vagus"	167195007	0	0	1
550	857091000006112	" "	500	"Number of admissions for hypoglycaemia"	857091000006108	0	0	1
370	318064018	"Ryu8A00"	10000	"Hyperglycemia"	80394007	0	0	1
337	499910017	"C307000"	6000	"Hyperglycinaemia"	64654004	0	0	1
538	975481000006116	"388Y.00"	5000	"UKPDS (United Kingdom Prospective Diabetes Study) risk engine score"	1089101000000109	0	0	1
1483	8454931000006116	" "	5	"Paediatric diabetes service"	1079491000000102	0	0	1
860	2476914012	"43Yv.00"	7	"Human insulin RAST test"	994291000000103	0	0	1
398	1957931000006117	" "	30000	"No H/O hypoglycaemic event in diabetes"	1957931000006101	0	0	1
1368	4770571000006112	" "	1	"Neuropathy associated with hypoglycaemia"	193191009	0	0	1
575	2588891000000116	" "	10000	"Leicester Diabetes Risk Score"	1025601000000108	0	0	1
919	2843271000006114	" "	10	"Syndrome of infant of diabetic mother"	21584002	0	0	1
1274	1979751000006118	" "	1	"Liverpool diabetes pilot - support option 4"	1979751000006102	0	0	1
381	817471000006110	"42c0.00"	30000	"Haemoglobin A1c less than 7% indicating good diabetic control"	165679005	0	0	1
674	215883014	"BB5B200"	2000	"Insulinoma"	302822000	0	0	1
915	1488822019	"46Z0.00"	3000	"Urine screening test for diabetes"	395123002	0	0	1
179	496430013	"Q447.00"	20000	"Neonatal hypoglycaemia"	52767006	0	0	1
371	250447011	"13B1.00"	100000	"Diabetic diet"	160670007	0	0	1
1192	6022671000006115	" "	5	"Proliferative diabetic retinopathy - non high risk"	312906006	0	0	1
363	459472019	"R10C.00"	1000	"Drug-induced hyperglycaemia"	441690002	0	0	1
896	1946681000006112	"8OAH.11"	900	"Provision of written information about diabetes & hypertensn"	715759002	0	0	1
859	96311000006111	"Q44y100"	30	"Transitory metabolic disturbance in infant of pre-diabetic mother"	206506005	0	0	1
53	1658821000000117	"66At.00"	2000000	"Diabetic dietary review"	754081000000109	0	0	1
760	771461000006119	"4544.00"	100	"Insulin stress test -pituitary"	1016041000000104	0	0	1
459	316953010	"Qyu6000"	400	"[X]Other neonatal hypoglycaemia"	52767006	0	0	1
658	291841000006115	"Q440.00"	600	"'Infant of a diabetic mother' syndrome"	21584002	0	0	1
285	637101000000118	"C116.00"	3000	"Other hypoglycaemia"	302866003	0	0	1
438	1773555016	"66Ad.00"	5000	"Hypoglycaemic attack requiring 3rd party assistance"	401082004	0	0	1
395	292636013	"C110z00"	800	"Hypoglycaemic coma NOS"	267384006	0	0	1
1052	8288771000006118	" "	400	"Non-diabetic hyperglycaemia"	849171000000106	0	0	1
367	63041000000111	"66Aa.00"	30000	"Poor compliance with diabetic diet"	25361000000103	0	0	1
1114	5912361000006117	" "	70	"Hypoglycemia"	302866003	0	0	1
347	1918361000006116	" "	30000	"Diabetes care planning test results sent to patient"	1918361000006100	0	0	1
1479	2737581000000113	" "	500	"Signposting to Diabetes UK"	1092721000000109	0	0	1
