prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
8349841000033111	"21797411000001109"	"Aprokam 50mg powder for solution for injection vials (Thea Pharmaceuticals Ltd)"	"Aprokam 50mg powder for solution for injection vials"	"Powder for solution for injection"	"Intracameral"	"Cefuroxime sodium"	"50.000mg"	"11080200"	5
4373141000033119	"4515811000001108"	"Cefalexin 250mg/5ml oral suspension sugar free"	"Cefalexin 250mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Cefalexin"	"50.000mg/1.000ml"	"5010200"	20000
1436941000033111	"165611000001108"	"Tiloryth 250mg gastro-resistant capsules (Tillomed Laboratories Ltd)"	"Tiloryth 250mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Erythromycin"	"250.000mg"	"5010500"	400
48541000033114	"388911000001104"	"Amoxil 250mg powder for solution for injection vials (GlaxoSmithKline UK Ltd)"	"Amoxil 250mg powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"Amoxicillin sodium"	"250.000mg"	" "	200
1427741000033113	"3348811000001106"	"Terramycin 250mg tablets (Pfizer Ltd)"	"Terramycin 250mg tablets"	"Tablet"	"Oral"	"Oxytetracycline dihydrate"	"250.000mg"	" "	2000
13827741000033112	"769817000"	"Amoxicillin 500mg/5ml oral suspension sugar free"	"Amoxicillin 500mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"100.000mg/1.000ml"	" "	100
1044141000033110	"9385411000001106"	"Penbritin 500mg capsules (Chemidex Pharma Ltd)"	"Penbritin 500mg capsules"	"Capsule"	"Oral"	"Ampicillin"	"500.000mg"	" "	3000
538841000033112	"324179001"	"Erythromycin ethyl succinate 500mg tablets"	"Erythromycin ethyl succinate 500mg tablets"	"Tablet"	"Oral"	"Erythromycin ethyl succinate"	"500.000mg"	"5010500"	600000
584241000033113	"419411000001108"	"Floxapen 1g powder for solution for injection vials (GlaxoSmithKline UK Ltd)"	"Floxapen 1g powder for solution for injection vials"	"Powder for solution for injection"	"Intraarticular/ Intravenous/ Intramuscular/ Intrapleural/ Inhalation"	"Flucloxacillin sodium"	"1.000gram"	"5010102"	20
3084241000033115	"39684111000001105"	"Cefalexin 250mg tablets"	"Cefalexin 250mg tablets"	"Tablet"	"Oral"	"Cefalexin"	"250.000mg"	"5010201"	600000
1523841000033118	"2847211000001103"	"Vibramycin-D 100mg dispersible tablets (Pfizer Ltd)"	"Vibramycin-D 100mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Doxycycline monohydrate"	"100.000mg"	"5040100/ 13060200"	8000
95041000033115	"292511000001103"	"Augmentin 625mg tablets (GlaxoSmithKline UK Ltd)"	"Augmentin 625mg tablets"	"Tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"500.000mg + 125.000mg"	"5010103"	100000
5293041000033114	"16089711000001107"	"Flucloxacillin 250mg/5ml oral solution sugar free"	"Flucloxacillin 250mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Flucloxacillin sodium"	"50.000mg/1.000ml"	" "	200000
539541000033115	"274611000001103"	"Erythrocin 250 tablets (Advanz Pharma)"	"Erythrocin 250 tablets"	"Tablet"	"Oral"	"Erythromycin stearate"	"250.000mg"	"13060200"	90000
803441000033112	"622911000001103"	"Keflex 500mg tablets (Flynn Pharma Ltd)"	"Keflex 500mg tablets"	"Tablet"	"Oral"	"Cefalexin"	"500.000mg"	"5010201"	7000
3838641000033116	"9742411000001105"	"Clarithromycin 187.5mg granules straws"	"Clarithromycin 187.5mg granules straws"	"Granules"	"Oral"	"Clarithromycin"	"187.500mg"	"5010500"	400
805741000033118	"220811000001105"	"Klaricid 250mg tablets (Abbott Laboratories Ltd)"	"Klaricid 250mg tablets"	"Tablet"	"Oral"	"Clarithromycin"	"250.000mg"	"5010500"	100000
367541000033116	"37083711000001108"	"Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free"	"Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"80.000mg/1.000ml + 11.400mg/1.000ml"	"5010103"	100000
224541000033111	"4557611000001106"	"Cefuroxime 1.5g powder for injection vials"	"Cefuroxime 1.5g powder for injection vials"	" Powder for injection"	"Intramuscular/ Intravenous"	"Cefuroxime sodium"	"1.500gram"	"5010201"	100
1554841000033115	"4740211000001106"	"Zinacef 250mg powder for injection vials (GlaxoSmithKline UK Ltd)"	"Zinacef 250mg powder for injection vials"	" Powder for injection"	"Intravenous/ Intramuscular"	"Cefuroxime sodium"	"250.000mg"	"5010201"	20
1441341000033115	"4413311000001105"	"Timentin 3.2g powder for solution for infusion vials (Laboratoires Delbert)"	"Timentin 3.2g powder for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Potassium clavulanate/ Ticarcillin sodium"	"200.000mg + 3.000gram"	"5010104"	30
221041000033115	"343411000001108"	"Ceporex 500mg capsules (Strides Pharma UK Ltd)"	"Ceporex 500mg capsules"	"Capsule"	"Oral"	"Cefalexin"	"500.000mg"	"5010201"	50000
93141000033115	"386811000001108"	"Augmentin 375mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Augmentin 375mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"250.000mg + 125.000mg"	" "	20000
1044041000033111	"850311000001106"	"Penbritin 250mg capsules (Chemidex Pharma Ltd)"	"Penbritin 250mg capsules"	"Capsule"	"Oral"	"Ampicillin"	"250.000mg"	"5010103"	10000
1557141000033118	"650911000001103"	"Zithromax 200mg/5ml oral suspension (Pfizer Ltd)"	"Zithromax 200mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Azithromycin"	"40.000mg/1.000ml"	"5010500"	20000
805441000033113	"463111000001102"	"Klaricid 500 tablets (Abbott Laboratories Ltd)"	"Klaricid 500 tablets"	"Tablet"	"Oral"	"Clarithromycin"	"500.000mg"	"1030500"	20000
254441000033111	"785511000001102"	"Ciproxin I.V. Flexibag 200mg/100ml infusion (Bayer Plc)"	"Ciproxin I.V. Flexibag 200mg/100ml infusion"	"Infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	" "	9
1076141000033115	"323418000"	"Phenoxymethylpenicillin 125mg/5ml oral solution"	"Phenoxymethylpenicillin 125mg/5ml oral solution"	"Oral solution"	"Oral"	"Phenoxymethylpenicillin potassium"	"25.000mg/1.000ml"	"5010101"	2000000
805341000033119	"3253811000001107"	"Klaricid Adult 250mg granules sachets (Mylan)"	"Klaricid Adult 250mg granules sachets"	"Granules"	"Oral"	"Clarithromycin"	"250.000mg"	"5010500"	1000
1554941000033111	"3939311000001103"	"Zinacef 750mg powder for injection vials (GlaxoSmithKline UK Ltd)"	"Zinacef 750mg powder for injection vials"	" Powder for injection"	"Intravenous/ Intramuscular"	"Cefuroxime sodium"	"750.000mg"	"5010201"	200
130941000033113	"323398002"	"Benzylpenicillin 600mg powder for solution for injection vials"	"Benzylpenicillin 600mg powder for solution for injection vials"	"Powder for solution for injection"	"Intramuscular/ Intravenous"	"Benzylpenicillin sodium"	"600.000mg"	"5010101"	10000
4823141000033118	"14759911000001105"	"Clamelle 500mg tablets (Actavis UK Ltd)"	"Clamelle 500mg tablets"	"Tablet"	"Oral"	"Azithromycin"	"500.000mg"	" "	60
253641000033111	"8954311000001104"	"Ciproxin 400mg/200ml solution for infusion bottles (Bayer Plc)"	"Ciproxin 400mg/200ml solution for infusion bottles"	"Solution for infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	"5011200"	2
808441000033117	"748211000001100"	"Ladropen 250mg capsules (Teva UK Ltd)"	"Ladropen 250mg capsules"	"Capsule"	"Oral"	"Flucloxacillin sodium"	"250.000mg"	"5010102"	4000
98441000033116	"324253001"	"Azithromycin 200mg/5ml oral suspension"	"Azithromycin 200mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Azithromycin"	"40.000mg/1.000ml"	"5010500"	300000
587341000033112	"323493005"	"Flucloxacillin 1g powder for solution for injection vials"	"Flucloxacillin 1g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular/ Intrapleural/ Inhalation/ Intraarticular"	"Flucloxacillin sodium"	"1.000gram"	"5010102"	1000
802741000033110	"691711000001103"	"Keflex 125mg/5ml oral suspension (Flynn Pharma Ltd)"	"Keflex 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Cefalexin"	"25.000mg/1.000ml"	"5010201"	20000
275941000033115	"4532011000001102"	"Claforan 500mg powder for solution for injection vials (Sanofi)"	"Claforan 500mg powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"Cefotaxime sodium"	"500.000mg"	" "	20
44541000033115	"323571002"	"Ampicillin 500mg capsules"	"Ampicillin 500mg capsules"	"Capsule"	"Oral"	"Ampicillin"	"500.000mg"	"5010103"	100000
370141000033116	"39732211000001107"	"Co-amoxiclav 500mg/125mg tablets"	"Co-amoxiclav 500mg/125mg tablets"	"Tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"500.000mg + 125.000mg"	"5010103"	4000000
278241000033118	"35368711000001104"	"Clarithromycin 125mg/5ml oral suspension"	"Clarithromycin 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clarithromycin"	"25.000mg/1.000ml"	"5010500"	600000
536941000033117	"324180003"	"Erythromycin stearate 250mg tablets"	"Erythromycin stearate 250mg tablets"	"Tablet"	"Oral"	"Erythromycin stearate"	"250.000mg"	"5010500"	200000
415941000033110	"2848211000001104"	"Demix 50 capsules (Ashbourne Pharmaceuticals Ltd)"	"Demix 50 capsules"	"Capsule"	"Oral"	"Doxycycline hyclate"	"50.000mg"	" "	600
535441000033118	"324215006"	"Erythromycin 1g powder for solution for infusion vials"	"Erythromycin 1g powder for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Erythromycin lactobionate"	"1.000gram"	"5010500"	70
