prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
54241	9253011000001104	70699020	1	"Clarithromycin 250mg/5ml oral suspension (A A H Pharmaceuticals Ltd)"	"Clarithromycin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"March 2013"	5848009
79896	21797411000001108	47870020	1	"Aprokam 50mg powder for solution for injection vials (Thea Pharmaceuticals Ltd)"	"Cefuroxime sodium"	"50mg"	"Powder for solution for injection"	"Intracameral"	11080251	"Ocular Peri-Operative Drugs"	"February 2020"	47870020
30177	273611000001101	61118020	515	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	3278009
33334	719911000001109	49221020	37	"Cefalexin 250mg tablets (A A H Pharmaceuticals Ltd)"	"Cefalexin"	"250mg"	"Tablet"	"Oral"	5010201	"Cephalosporins"	"February 2009"	300011
43814	11017911000001104	71769020	3	"Ciprofloxacin 250mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"November 2010"	6169009
63596	4530611000001108	14109020	0	"Cefuroxime 1.5g powder for injection vials (A A H Pharmaceuticals Ltd)"	"Cefuroxime sodium"	"1.5gram"	"Powder for injection"	"Intramuscular/Intravenous"	5010201	"Cephalosporins"	"July 2015"	14109020
56700	17584311000001104	5580020	7	"Amoxil 500mg capsules (Necessity Supplies Ltd)"	"Amoxicillin trihydrate"	"500mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"August 2013"	5580020
17121	146595001000027104	67389020	0	"Clavulanic acid 100mg with amoxicillin 500mg/vial injection"	"Amoxicillin Sodium/Potassium Clavulanate"	"100mg + 500mg/vial"	"Injection"	""	5010103	"Broad-Spectrum Penicillins"	"February 2009"	4923002
61355	14201611000001100	5792020	0	"Doxycycline 50mg capsules (Healthcare Pharma Ltd)"	"Doxycycline hyclate"	"50mg"	"Capsule"	"Oral"		"Tetracyclines/Antimalarials/Oral Antibacterials For Acne"	"October 2014"	5792020
58803	19833711000001108	38979020	0	"Co-amoxiclav 250mg/125mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"250mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2014"	38979020
27254	204785001000027104	77586020	1	"Tenkorex 500mg Capsule (OPD Pharm)"	"Cefalexin"	"500mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"February 2009"	7922001
2726	491611000001109	72721020	12336	"Tarivid 400mg tablets (Sanofi)"	"Ofloxacin"	"400mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	6445002
2225	39107311000001104	60849020	240872	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	3216003
10369	148145001000027104	67559020	3217	"Ampicillin 125mg / Flucloxacillin 125mg oral solution"	"Ampicillin Trihydrate/Flucloxacillin Magnesium"	"125mg+125mg"	"Syrup"	"Oral"		"Penicillinase-Resistant Penicillins/Broad-Spectrum Penicillins"	"February 2009"	4968002
57960	13744011000001108	66116020	0	"Ciprofloxacin 500mg tablets (Tillomed Laboratories Ltd)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"December 2013"	4570009
1637	114815001000027104	63078020	2584	"Amoxil fiztab 250mg Tablet (Bencard)"	"Amoxicillin Trihydrate"	"250mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	3743002
43546	103311000001100	56981020	164	"Flucloxacillin 125mg/5ml oral solution (Accord Healthcare Ltd)"	"Flucloxacillin sodium"	"25mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"September 2010"	2245011
59042	145611000001104	5554020	0	"Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"March 2014"	5554020
51194	14199011000001106	5605020	6	"Augmentin-Duo 400/57 oral suspension (Sigma Pharmaceuticals Plc)"	"Amoxicillin trihydrate/Potassium clavulanate"	"80mg/1ml + 11.4mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"January 2013"	5605020
43758	634711000001107	66715020	4	"Phenoxymethylpenicillin 250mg tablets (Sandoz Ltd)"	"Phenoxymethylpenicillin potassium"	"250mg"	"Tablet"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"October 2010"	4738009
34895	17425001000027108	50210020	326	"Penicillin V 250mg/5ml Oral solution (Celltech Pharma Europe Ltd)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	530010
9154	162511000001103	74368020	3554	"Ciproxin 100mg tablets (Bayer Plc)"	"Ciprofloxacin hydrochloride"	"100mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	6919002
29472	366711000001102	63943020	8	"Ciprofloxacin 750mg tablets (A A H Pharmaceuticals Ltd)"	"Ciprofloxacin hydrochloride"	"750mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	3977009
60308	468911000001109	5868020	1	"Erythromycin ethyl succinate 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"July 2014"	5868020
2377	38285001000027104	52817020	9827	"Pondocillin 175mg/5ml Oral suspension sugar free (LEO Pharma)"	"Pivampicillin"	"175mg/5ml"	"Oral Suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	1179001
57267	21854311000001100	47449020	0	"Clarithromycin 125mg/5ml oral suspension (Waymade Healthcare Plc)"	"Clarithromycin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"September 2013"	47449020
64357	21765611000001104	47408020	4	"Amoxicillin 500mg capsules (Waymade Healthcare Plc)"	"Amoxicillin trihydrate"	"500mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"October 2015"	47408020
66214	827711000001107	69069020	0	"Ciprofloxacin 250mg tablets (Ranbaxy (UK) Ltd)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"May 2016"	5392009
70275	32496011000001108	66030021	0	"Amoxicillin 3g oral powder sachets sugar free (Brown & Burk UK Ltd)"	"Amoxicillin trihydrate"	"3gram"	"Powder"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"September 2017"	66030021
59269	22631111000001108	16735021	11	"Cefalexin 250mg capsules (DE Pharmaceuticals)"	"Cefalexin"	"250mg"	"Capsule"	"Oral"	5010201	"Cephalosporins"	"April 2014"	16735021
39417	560011000001100	60294020	304	"Cefalexin 125mg/5ml oral suspension (Mylan)"	"Cefalexin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"April 2009"	3090010
65956	29852211000001108	52265021	1	"Erythromycin ethyl succinate 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc)"	"Erythromycin ethyl succinate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"April 2016"	52265021
69118	33680911000001100	71445021	2	"Amoxicillin 500mg capsules (Brown & Burk UK Ltd)"	"Amoxicillin trihydrate"	"500mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"April 2017"	71445021
60202	835511000001109	62315020	1	"Cefalexin 250mg/5ml oral suspension (Kent Pharma (UK) Ltd)"	"Cefalexin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"June 2014"	3566009
