prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
1781841000033110	"35919211000001107"	"Tinzaparin sodium 20,000units/2ml solution for injection vials"	"Tinzaparin sodium 20,000units/2ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	3000
1337341000033116	"738511000001103"	"Sinthrome 1mg tablets (Norgine Pharmaceuticals Ltd)"	"Sinthrome 1mg tablets"	"Tablet"	"Oral"	"Acenocoumarol"	"1.000mg"	"2080200"	100000
516841000033116	"38895111000001104"	"Enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes"	"Enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Intravenous/ Subcutaneous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	50000
1731041000033113	"3967611000001107"	"Fragmin 10,000units/0.4ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Fragmin 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	4000
6000941000033113	"8798611000001102"	"Warfarin 3mg/5ml oral suspension"	"Warfarin 3mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin sodium"	"600.000microgram/1.000ml"	" "	3
6436241000033116	"19465811000001104"	"Pradaxa 150mg capsules (Boehringer Ingelheim Ltd)"	"Pradaxa 150mg capsules"	"Capsule"	"Oral"	"Dabigatran etexilate mesilate"	"150.000mg"	" "	6000
276541000033115	"3825411000001104"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Sanofi)"	"Clexane 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	70000
6000841000033117	"8798211000001104"	"Warfarin 1mg/5ml oral suspension"	"Warfarin 1mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin sodium"	"200.000microgram/1.000ml"	" "	300
517041000033113	"38896011000001109"	"Enoxaparin sodium 20mg/0.2ml solution for injection pre-filled syringes"	"Enoxaparin sodium 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intraarterial/ Intravenous"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	30000
929141000033116	"4761711000001102"	"Monoparin calcium 5,000units/0.2ml solution for injection ampoules (Wockhardt UK Ltd)"	"Monoparin calcium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	4
6511541000033112	"19840811000001107"	"Xarelto 15mg tablets (Bayer Plc)"	"Xarelto 15mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"15.000mg"	" "	3000
10046741000033114	"28498711000001103"	"Innohep 16,000units/0.8ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 16,000units/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	" "	90
4656441000033114	"14237311000001106"	"Xarelto 10mg tablets (Bayer Plc)"	"Xarelto 10mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"10.000mg"	"2080200"	900
6444541000033110	"19506911000001105"	"Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Eliquis 2.5mg tablets"	"Tablet"	"Oral"	"Apixaban"	"2.500mg"	"2080200"	6000
6112441000033111	"18509011000001102"	"Coumadin 4mg tablets (Imported (Canada))"	"Coumadin 4mg tablets"	"Tablet"	" "	"Warfarin sodium"	"4.000mg"	" "	100
