prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
38327	9205811000001104	89140020	365	"Arixtra 7.5mg/0.6ml solution for injection pre-filled syringes (Mylan)"	"Fondaparinux sodium"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	13149001
34299	437711000001102	55824020	17209	"Warfarin 1mg tablets (Teva UK Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1968009
35941	36055211000001104	91638020	96	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Heparin sodium"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	14413001
36617	8579011000001107	88688020	0	"Angiox 250mg powder for concentrate for solution for infusion vials (The Medicines Company UK Ltd)"	"Bivalirudin"	"250mg"	"Powder for solution for infusion"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12920001
84661	10733911000001106	73848020	42	"Warfarin 500microgram tablets (Zentiva Pharma UK Ltd)"	"Warfarin sodium"	"500microgram"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"October 2021"	6772009
5998	185575001000027104	73237020	1002	"Fragmin 10,000 iu/ml Solution for injection (Pfizer Ltd)"	"Dalteparin Sodium"	"10,000 iu/ml"	"Solution For Injection"	"Subcutaneous Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	6599002
72394	35083411000001104	79479021	49	"Enoxaparin Becat 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"June 2018"	79479021
34517	746411000001102	62803020	56	"Warfarin 1mg tablets (Mylan)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	3681009
21233	4121311000001100	87572020	273	"Innohep 20,000units/2ml solution for injection vials (LEO Pharma)"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12360001
44491	36054411000001104	91634020	0	"Heparin sodium 125,000units/5ml solution for injection vials"	"Heparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	0	"Unknown"	"February 2011"	14411001
51642	19868211000001100	39295020	3	"Clexane 100mg/1ml solution for injection pre-filled syringes (Lexon (UK) Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"January 2013"	39295020
31541	36053911000001104	91618020	4	"Heparin calcium 12,500units/0.5ml solution for injection pre-filled syringes"	"Heparin calcium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	0	"Unknown"	"February 2009"	14403001
75255	32359411000001104	62356021	1	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (Ennogen Healthcare Ltd)"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"March 2019"	62356021
59578	17876911000001108	2303020	2	"Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"April 2014"	2303020
15376	99905001000027104	60996020	270	"Acenocoumarol 4mg tablets"	"Acenocoumarol"	"4mg"	"Tablets"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	3250002
54234	17037211000001104	37216020	3	"Heparin sodium 1,000units/500ml infusion Viaflex bags (Baxter Healthcare Ltd)"	"Heparin sodium"	"2unit/1ml"	"Infusion"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"March 2013"	37216020
72040	28989111000001104	47992021	1	"Warfarin 3mg tablets (Crescent Pharma Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"April 2018"	47992021
33711	32115001000027100	51986020	6646	"Warfarin 5mg Tablet (WB Pharmaceuticals Ltd)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	965011
65285	28988911000001100	47991021	1	"Warfarin 1mg tablets (Crescent Pharma Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"January 2016"	47991021
56640	19840811000001108	39230020	684	"Xarelto 15mg tablets (Bayer Plc)"	"Rivaroxaban"	"15mg"	"Tablet"	"Oral"	2080201	"Novel Oral Anticoagulants (Noacs)"	"August 2013"	39230020
34691	113315001000027104	62856020	12	"Warfarin 5mg Tablet (Regent Laboratories Ltd)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	3691011
63101	28566511000001104	44862021	1221	"Tinzaparin sodium 8,000units/0.4ml solution for injection pre-filled syringes"	"Tinzaparin sodium"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"May 2015"	44862021
81838	32484811000001108	66080021	0	"Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes (Dr Reddy's Laboratories (UK) Ltd)"	"Fondaparinux sodium"	"5mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"September 2020"	66080021
40715	119045001000027104	63677020	24	"Heparin 100iu/ml Oral solution (LEO Pharma)"	"Heparin Sodium"	"100iu/ml"	"Oral Solution"	""	2080100	"Parenteral Anticoagulants"	"November 2009"	3905009
62150	27810711000001104	40545021	5450	"Rivaroxaban 2.5mg tablets"	"Rivaroxaban"	"2.5mg"	"Tablet"	"Oral"	2080201	"Novel Oral Anticoagulants (Noacs)"	"January 2015"	40545021
57204	36054111000001104	2269020	3	"Heparin calcium 5,000units/0.2ml solution for injection pre-filled syringes"	"Heparin calcium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	0	"Unknown"	"September 2013"	2269020
9640	32465001000027104	52033020	1579	"Tinzaparin 10000 IU/ml Injection"	"Tinzaparin Sodium"	"10000 IU/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	978002
14099	169405001000027104	70688020	935	"Clexane forte 150mg/ml Injection (Aventis Pharma)"	"Enoxaparin Sodium"	"150mg/ml"	"Injection"	"Subcutaneous Deep Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	5845001
70866	34700211000001100	77912021	1472	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"December 2017"	77912021
17484	73245001000027104	57361020	303	"Innohep 10,000 IU/ml Injection (LEO Pharma)"	"Tinzaparin Sodium"	"10,000 IU/ml"	"Injection"	"Subcutaneous Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	2339003
69194	175715001000027104	71630020	1	"Heparin low molecular weight 5000iu/0.2ml Sterile solution"	"Heparin"	"5000iu/0.2ml"	"Sterile Solution"	""	2080100	"Parenteral Anticoagulants"	"April 2017"	6129001
16476	3968611000001106	88320020	16264	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12735001
37613	36054311000001104	91640020	77	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Heparin sodium"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	14414001
