prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues	BBvar
214541000033116	"318824000"	"Captopril 50mg tablets"	"Captopril 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	900000	0
5890241000033117	"8622511000001100"	"Lisinopril 5mg/5ml oral solution"	"Lisinopril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Lisinopril"	"1.000mg/1.000ml"	" "	4000	0
1067941000033111	"318897000"	"Perindopril erbumine 4mg tablets"	"Perindopril erbumine 4mg tablets"	"Tablet"	"Oral"	"Perindopril erbumine"	"4.000mg"	"2050501"	20000000	0
787941000033112	"172711000001100"	"Istin 5mg tablets (Upjohn UK Ltd)"	"Istin 5mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"5.000mg"	"2060200"	600000	0
2041041000033110	"872011000001109"	"Teveten 600mg tablets (Mylan)"	"Teveten 600mg tablets"	"Tablet"	"Oral"	"Eprosartan mesilate"	"600.000mg"	"2050502"	10000	0
40941000033118	"253711000001107"	"Aldomet 250mg tablets (Aspen Pharma Trading Ltd)"	"Aldomet 250mg tablets"	"Tablet"	"Oral"	"Methyldopa anhydrous"	"250.000mg"	"2050200"	100000	0
5890341000033110	"8720811000001105"	"Ramipril 5mg/5ml oral solution"	"Ramipril 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Ramipril"	"1.000mg/1.000ml"	" "	900	0
9159441000033118	"24412511000001109"	"Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd)"	"Actelsar HCT 80mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 80.000mg"	" "	8	0
609241000033116	"318910003"	"Fosinopril 20mg tablets"	"Fosinopril 20mg tablets"	"Tablet"	"Oral"	"Fosinopril sodium"	"20.000mg"	"2050501"	400000	0
4957641000033110	"15138911000001101"	"Cozaar 12.5mg tablets (Organon Pharma (UK) Ltd)"	"Cozaar 12.5mg tablets"	"Tablet"	"Oral"	"Losartan potassium"	"12.500mg"	" "	10000	0
211741000033110	"318978004"	"Candesartan 4mg tablets"	"Candesartan 4mg tablets"	"Tablet"	"Oral"	"Candesartan cilexetil"	"4.000mg"	"2050502"	6000000	0
5053141000033113	"15436111000001104"	"Indipam XL 1.5mg tablets (Accord Healthcare Ltd)"	"Indipam XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	" "	600	0
213441000033119	"318820009"	"Captopril 12.5mg tablets"	"Captopril 12.5mg tablets"	"Tablet"	"Oral"	"Captopril"	"12.500mg"	"2050501"	1000000	0
1845641000033119	"318097001"	"Amiloride 5mg / Bumetanide 1mg tablets"	"Amiloride 5mg / Bumetanide 1mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Bumetanide"	"5.000mg + 1.000mg"	"2020400"	200000	0
3161141000033116	"134461004"	"Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets"	"Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Irbesartan"	"12.500mg + 150.000mg"	"2050502"	200000	0
198941000033118	"540311000001105"	"Cardene SR 30mg capsules (Astellas Pharma Ltd)"	"Cardene SR 30mg capsules"	"Modified-release capsule"	"Oral"	"Nicardipine hydrochloride"	"30.000mg"	"2060200"	20000	0
5128741000033110	"15600711000001107"	"Mapemid XL 1.5mg tablets (Teva UK Ltd)"	"Mapemid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	" "	7	0
1753841000033118	"680811000001102"	"Tanatril 10mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"	"Tanatril 10mg tablets"	"Tablet"	"Oral"	"Imidapril hydrochloride"	"10.000mg"	"2050501"	2000	0
12569041000033116	"11813011000001109"	"Clonidine 100micrograms/5ml oral suspension"	"Clonidine 100micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Clonidine hydrochloride"	"20.000microgram/1.000ml"	" "	90	0
4454641000033117	"13444311000001104"	"Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd)"	"Coversyl Arginine Plus 5mg/1.25mg tablets"	"Tablet"	"Oral"	"Indapamide/ Perindopril arginine"	"1.250mg + 5.000mg"	"2050501"	70000	0
5006241000033115	"15772911000001108"	"Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd)"	"Sevikar 40mg/5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Olmesartan medoxomil"	"5.000mg + 40.000mg"	"2050502"	2000	0
6435741000033117	"19481911000001105"	"Irbesartan 37.5mg oral powder sachets"	"Irbesartan 37.5mg oral powder sachets"	"Powder"	"Oral"	"Irbesartan"	"37.500mg"	" "	30	0
1455741000033119	"802311000001101"	"Tritace 5mg capsules (Sanofi)"	"Tritace 5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	40000	0
3908941000033112	"409184002"	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets"	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Olmesartan medoxomil"	"12.500mg + 20.000mg"	"2050502"	60000	0
5006041000033111	"429678006"	"Olmesartan medoxomil 40mg / Amlodipine 10mg tablets"	"Olmesartan medoxomil 40mg / Amlodipine 10mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Olmesartan medoxomil"	"10.000mg + 40.000mg"	"2050502"	10000	0
614641000033117	"427411000001106"	"Frumil 40mg/5mg tablets (Sanofi)"	"Frumil 40mg/5mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"5.000mg + 40.000mg"	"2020400"	2000000	0
3162741000033111	"407856001"	"Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets"	"Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 80.000mg"	"2050502"	100000	0
10387441000033112	"29826211000001109"	"Amlodipine 10mg/5ml oral solution sugar free"	"Amlodipine 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amlodipine"	"2.000mg/1.000ml"	" "	3000	0
655241000033111	"36053311000001103"	"Guanethidine 10mg/1ml solution for injection ampoules"	"Guanethidine 10mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Guanethidine monosulfate"	"10.000mg/1.000ml"	"2050300"	90	0
614341000033113	"550711000001106"	"Frumil LS 20mg/2.5mg tablets (Sanofi)"	"Frumil LS 20mg/2.5mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"2.500mg + 20.000mg"	"2020400"	300000	0
956741000033114	"535711000001100"	"Navispare 2.5mg/250microgram tablets (Advanz Pharma)"	"Navispare 2.5mg/250microgram tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Cyclopenthiazide"	"2.500mg + 250.000microgram"	"2020400"	800000	0
5816741000033112	"14693611000001102"	"Varbim XL 1.5mg tablets (Teva UK Ltd)"	"Varbim XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	" "	400	0
