prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber	BBvar
28738	125055001000027104	64556020	92	"Methyldopa with hydrochlorothiazide Tablet"	"Hydrochlorothiazide/Methyldopa Anhydrous"	""	"Tablet"	"Oral"	2050200	"Centrally Acting Antihypertensive Products"	"February 2009"	4144001	0
81924	38095611000001104	91431021	0	"Amlodipine 2.5mg tablets (Bristol Laboratories Ltd)"	"Amlodipine"	"2.5mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"October 2020"	91431021	0
501	39020611000001112	52179020	3158643	"Felodipine 5mg modified-release tablets"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1014001	0
2347	152135001000027104	68066020	11629	"Hytrin 10mg Tablet (Abbott Laboratories Ltd)"	"Terazosin hydrochloride"	"10mg"	"Tablet"	"Oral"		"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"February 2009"	5111001	0
62337	23472611000001104	20118021	11	"Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets (Accord Healthcare Ltd)"	"Irbesartan/Hydrochlorothiazide"	"300mg + 12.5mg"	"Tablet"	"Oral"		"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists With Diuretic"	"February 2015"	20118021	0
47804	12779411000001108	74717020	13	"Co-triamterzide 50mg/25mg tablets (A A H Pharmaceuticals Ltd)"	"Triamterene/Hydrochlorothiazide"	"50mg + 25mg"	"Tablet"	"Oral"	2020400	"Potassium-Sparing Diuretics With Other Diuretics"	"September 2012"	7023009	0
66997	29749811000001100	52342021	0	"MicardisPlus 40mg/12.5mg tablets (Waymade Healthcare Plc)"	"Telmisartan/Hydrochlorothiazide"	"40mg + 12.5mg"	"Tablet"	"Oral"	2050504	"Angiotensin-II Receptor Antagonists With Diuretic"	"August 2016"	52342021	0
53812	244535001000027104	92033020	0	"Bendroflumethiazide oral solution"	"Bendroflumethiazide"	""	""	""	2020100	"Thiazides And Related Diuretics"	"February 2013"	14612001	0
63222	18170411000001104	1645020	0	"Losartan 25mg tablets (Pfizer Ltd)"	"Losartan potassium"	"25mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"May 2015"	1645020	0
68647	32746311000001108	69013021	0	"Candesartan 8mg tablets (Genesis Pharmaceuticals Ltd)"	"Candesartan cilexetil"	"8mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"January 2017"	69013021	0
55299	5873711000001102	67297020	4	"Ramipril 1.25mg capsules (A A H Pharmaceuticals Ltd)"	"Ramipril"	"1.25mg"	"Capsule"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"May 2013"	4896009	0
74904	24372211000001104	23682021	0	"Losartan 25mg tablets (DE Pharmaceuticals)"	"Losartan potassium"	"25mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"February 2019"	23682021	0
45300	247511000001109	65236020	577	"Lisinopril 10mg tablets (Actavis UK Ltd)"	"Lisinopril"	"10mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"May 2011"	4325009	0
72181	18029411000001100	37683020	13	"Felodipine 5mg/5ml oral solution"	"Felodipine"	"1mg/1ml"	"Oral solution"	"Oral"	2060200	"Calcium-Channel Blockers"	"May 2018"	37683020	0
43523	505611000001103	60182020	20	"Amiloride 5mg tablets (Mylan)"	"Amiloride hydrochloride"	"5mg"	"Tablet"	"Oral"	2020300	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"September 2010"	3065009	0
70994	654711000001106	66757020	0	"Captopril 12.5mg tablets (Sandoz Ltd)"	"Captopril"	"12.5mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"December 2017"	4749009	0
54288	10386411000001100	69238020	0	"Lisinopril 10mg tablets (Arrow Generics Ltd)"	"Lisinopril"	"10mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"March 2013"	5438009	0
56516	13651711000001102	75649020	2	"Perindopril erbumine 2mg tablets (Sandoz Ltd)"	"Perindopril erbumine"	"2mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"August 2013"	7281009	0
34936	68705001000027104	56686020	62	"Captopril 25mg Tablet (Lagap)"	"Captopril"	"25mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"February 2009"	2178010	0
45816	9810211000001104	71542020	92	"Lisinopril 5mg tablets (Almus Pharmaceuticals Ltd)"	"Lisinopril"	"5mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"August 2011"	6102009	0
65749	28780011000001108	44888021	1	"Ramipril 5mg capsules (Ennogen Pharma Ltd)"	"Ramipril"	"5mg"	"Capsule"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"March 2016"	44888021	0
3720	593111000001108	68562020	73220	"Zestril 2.5mg tablets (AstraZeneca UK Ltd)"	"Lisinopril"	"2.5mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"February 2009"	5248001	0
59086	20571411000001104	41899020	0	"Losartan 25mg tablets (Wockhardt UK Ltd)"	"Losartan potassium"	"25mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"March 2014"	41899020	0
31761	8046411000001106	88254020	26433	"Amlostin 10mg tablets (Discovery Pharmaceuticals)"	"Amlodipine"	"10mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	12702001	0
3302	540311000001105	54862020	14050	"Cardene SR 30mg capsules (Astellas Pharma Ltd)"	"Nicardipine hydrochloride"	"30mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1709001	0
82312	20022511000001104	39917020	0	"Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Arrow Generics Ltd)"	"Valsartan/Hydrochlorothiazide"	"160mg + 12.5mg"	"Tablet"	"Oral"	2050504	"Angiotensin-II Receptor Antagonists With Diuretic"	"January 2021"	39917020	0
70989	20323211000001104	40498020	0	"Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd)"	"Bendroflumethiazide"	"2.5mg"	"Tablet"	"Oral"		"Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria"	"December 2017"	40498020	0
56606	449109006	41454020	198	"Azilsartan medoxomil 40mg tablets"	"Azilsartan medoxomil"	"40mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"August 2013"	41454020	0
5815	39696711000001104	63556020	20911	"Indoramin 25mg tablets"	"Indoramin hydrochloride"	"25mg"	"Tablet"	"Oral"		"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"February 2009"	3874001	0
34280	901811000001108	56459020	128	"Co-amilofruse 2.5mg/20mg tablets (Sandoz Ltd)"	"Amiloride hydrochloride/Furosemide"	"2.5mg + 20mg"	"Tablet"	"Oral"	2020400	"Potassium-Sparing Diuretics With Other Diuretics"	"February 2009"	2122010	0
55306	5008511000001107	99312020	520	"Folpik XL 5mg tablets (Teva UK Ltd)"	"Felodipine"	"5mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"May 2013"	18303001	0
77129	28780211000001104	44889021	0	"Ramipril 10mg capsules (Ennogen Pharma Ltd)"	"Ramipril"	"10mg"	"Capsule"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"July 2019"	44889021	0
37930	13454411000001108	94699020	21046	"Perindopril arginine 5mg tablets"	"Perindopril arginine"	"5mg"	"Tablet"	"Oral"	2050501	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"February 2009"	15959001	0
51897	20350911000001100	41680020	17	"Edarbi 20mg tablets (Takeda UK Ltd)"	"Azilsartan medoxomil"	"20mg"	"Tablet"	"Oral"	2050502	"Angiotensin-II Receptor Antagonists"	"January 2013"	41680020	0
