prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues	BBvar
2129041000033118	"740811000001102"	"Cordilox MR 240mg tablets (Teva UK Ltd)"	"Cordilox MR 240mg tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	"2060200"	3000	1
513941000033117	"483911000001101"	"Emcor LS 5mg tablets (Merck Serono Ltd)"	"Emcor LS 5mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"5.000mg"	"2040000"	40000	1
5898341000033113	"8304811000001108"	"Bisoprolol 5mg/5ml oral suspension"	"Bisoprolol 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bisoprolol fumarate"	"1.000mg/1.000ml"	" "	400	1
144341000033117	"193911000001101"	"Betaloc 100mg tablets (AstraZeneca UK Ltd)"	"Betaloc 100mg tablets"	"Tablet"	"Oral"	"Metoprolol tartrate"	"100.000mg"	" "	30000	1
2641041000033116	"4129511000001107"	"Zolvera 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Zolvera 40mg/5ml oral solution"	"Oral solution"	"Oral"	"Verapamil hydrochloride"	"8.000mg/1.000ml"	"2060200"	50	1
453941000033115	"39023411000001103"	"Diltiazem 200mg modified-release capsules"	"Diltiazem 200mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"200.000mg"	"2060200"	400000	1
1520141000033118	"32311000001105"	"Viazem XL 120mg capsules (Thornton & Ross Ltd)"	"Viazem XL 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	100000	1
91041000033118	"318421004"	"Atenolol 100mg tablets"	"Atenolol 100mg tablets"	"Tablet"	"Oral"	"Atenolol"	"100.000mg"	"2100100"	10000000	1
8536441000033115	"12287411000001103"	"Bisoprolol 10mg/5ml oral suspension"	"Bisoprolol 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bisoprolol fumarate"	"2.000mg/1.000ml"	" "	200	1
451941000033119	"39023311000001105"	"Diltiazem 180mg modified-release capsules"	"Diltiazem 180mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	400000	1
1442841000033115	"103611000001105"	"Tildiem Retard 90mg tablets (Sanofi)"	"Tildiem Retard 90mg tablets"	"Modified-release tablet"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	"2060200"	1000000	1
1952441000033118	"823111000001103"	"Cardicor 3.75mg tablets (Merck Serono Ltd)"	"Cardicor 3.75mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"3.750mg"	"2040000"	9000	1
1469241000033117	"674711000001109"	"Trandate 400mg tablets (RPH Pharmaceuticals AB)"	"Trandate 400mg tablets"	"Tablet"	"Oral"	"Labetalol hydrochloride"	"400.000mg"	"2040000"	10000	1
