prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber	BBvar
33650	225111000001106	60232020	639	"Atenolol 50mg tablets (Mylan)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	3075010	1
2663	181565001000027104	72565020	8197	"Diltiazem 240mg modified-release capsules"	"Diltiazem Hydrochloride"	"240mg"	"Modified Release Capsules"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	6400003	1
34171	14865001000027100	49917020	32	"Labetalol 100mg Tablet (C P Pharmaceuticals Ltd)"	"Labetalol hydrochloride"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	460009	1
53664	20283611000001104	40505020	132	"Bisoprolol 2.5mg tablets (Sandoz Ltd)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2013"	40505020	1
10832	81595001000027104	58376020	3164	"Securon 80mg Tablet (Abbott Laboratories Ltd)"	"Verapamil hydrochloride"	"80mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"February 2009"	2617002	1
68677	14404711000001108	77740020	12	"Nebivolol 5mg tablets (Accord Healthcare Ltd)"	"Nebivolol hydrochloride"	"5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"January 2017"	7972009	1
45250	929111000001109	66745020	40	"Labetalol 400mg tablets (Sandoz Ltd)"	"Labetalol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"May 2011"	4746009	1
55849	582811000001105	63164020	1	"Propranolol 160mg tablets (Mylan)"	"Propranolol hydrochloride"	"160mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"August 2013"	3762009	1
2775	318446004	63900020	129247	"Labetalol 200mg tablets"	"Labetalol hydrochloride"	"200mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	3967002	1
34884	141395001000027104	66703020	26	"Propranolol 160mg Modified-release capsule (Sandoz Ltd)"	"Propranolol hydrochloride"	"160mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	4734009	1
31934	646611000001108	55395020	2521	"Atenolol 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	1856010	1
57594	5424211000001104	1906020	4	"Tildiem 60mg modified-release tablets (Waymade Healthcare Plc)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"October 2013"	1906020	1
4732	39023911000001104	72564020	147288	"Diltiazem 90mg modified-release tablets"	"Diltiazem hydrochloride"	"90mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	6400002	1
75278	13199811000001102	34204020	4	"Propranolol 5mg/5ml oral suspension"	"Propranolol hydrochloride"	"1mg/1ml"	"Oral suspension"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"March 2019"	34204020	1
13075	254911000001106	87834020	96498	"Dilzem XL 180 capsules (Teva UK Ltd)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	12491001	1
34821	502311000001102	62677020	417	"Bisoprolol 10mg tablets (Mylan)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	3650010	1
62325	21778611000001100	47104020	0	"Atenolol 25mg tablets (Waymade Healthcare Plc)"	"Atenolol"	"25mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2015"	47104020	1
8524	81585001000027104	58375020	3404	"Securon 40mg Tablet (Abbott Laboratories Ltd)"	"Verapamil hydrochloride"	"40mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"February 2009"	2617001	1
34177	50911000001108	49922020	1208	"Labetalol 100mg tablets (A A H Pharmaceuticals Ltd)"	"Labetalol hydrochloride"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	461009	1
74039	14625611000001108	1076020	26	"Tenif 50mg/20mg modified-release capsules (Sigma Pharmaceuticals Plc)"	"Atenolol/Nifedipine"	"50mg + 20mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Calcium-Channel Blockers"	"December 2018"	1076020	1
62064	24523511000001104	25559021	0	"Diltiazem 120mg modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2015"	25559021	1
83288	36106311000001104	82653021	3	"Bedranol 10mg tablets (Ennogen Pharma Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"March 2021"	82653021	1
2453	155455001000027104	68603020	25222	"Diltiazem 60mg modified-release capsules"	"Diltiazem Hydrochloride"	"60mg"	"Modified Release Capsules"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	5259002	1
76322	18497911000001104	1099020	16	"Bisoprolol 10mg tablets (Almus Pharmaceuticals Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"May 2019"	1099020	1
58491	316911000001101	924020	0	"Propranolol 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"January 2014"	924020	1
