prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
3836841000033119	"322784004"	"Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free"	"Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free"	"Powder"	"Oral"	"Aspirin DL-Lysine/ Metoclopramide hydrochloride"	"900.000mg + 10.000mg"	"4070401"	20000
452541000033115	"4532311000001104"	"Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Disprin CV 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"300.000mg"	" "	1000
1739541000033116	"3460911000001104"	"Imazin XL tablets (Napp Pharmaceuticals Ltd)"	"Imazin XL tablets"	"Modified-release tablet"	"Oral"	"Aspirin/ Isosorbide mononitrate"	"75.000mg + 60.000mg"	" "	30000
83041000033115	"319781007"	"Aspirin 75mg gastro-resistant tablets"	"Aspirin 75mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	"2090000"	30000000
82941000033113	"319773006"	"Aspirin 75mg dispersible tablets"	"Aspirin 75mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Aspirin"	"75.000mg"	"2090000"	100000000
1098041000033111	"636011000001100"	"PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd)"	"PostMI 75 dispersible tablets"	"Dispersible tablet"	"Oral"	"Aspirin"	"75.000mg"	" "	20000
3160741000033110	"36069911000001109"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Modified-release capsule"	"Oral"	"Aspirin/ Dipyridamole"	"25.000mg + 200.000mg"	"2090000"	400000
3162141000033112	"35903011000001102"	"Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin/ Isosorbide mononitrate"	"150.000mg + 60.000mg"	" "	2000
3162041000033113	"35903111000001101"	"Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin/ Isosorbide mononitrate"	"75.000mg + 60.000mg"	" "	4000
3849841000033110	"39695311000001105"	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Aspirin/ Papaveretum"	"500.000mg + 7.710mg"	" "	500
