prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
66861	10064711000001104	21876020	0	"Aspirin 75mg effervescent tablets"	"Aspirin"	"75mg"	"Effervescent tablet"	"Oral"	2090000	"Antiplatelet Products"	"July 2016"	21876020
36543	160185001000027104	69425020	389	"Aspirin 100mg effervescent tablets"	"Aspirin"	"100mg"	"Tablets"	"Oral"	2090000	"Antiplatelet Products"	"February 2009"	5486001
24828	175845001000027104	71656020	2	"Hypon Tablet (Wellcome Medical Division)"	"Calcium Carbonate/Caffeine Citrate/Citric Acid/Codeine Phosphate/Aspirin"	""	"Tablet"	"Oral"		"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"February 2009"	6136001
31870	50725001000027104	54361020	18	"Aspirin 320mg tablets"	"Aspirin"	"320mg"	"Tablets"	"Oral"		"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"February 2009"	1580003
56995	17785711000001108	2349020	0	"Aspirin 75mg dispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	2090000	"Antiplatelet Products"	"September 2013"	2349020
81353	4595001000027103	48558020	10	"Femigraine Effervescent tablet (Nicholas Laboratories Ltd)"	"Cyclizine Hydrochloride/Aspirin"	""	"Effervescent Tablet"	""		"Antihistamines Used For Nausea And Vomiting/Acute Migraine"	"July 2020"	146001
43806	575111000001104	57869020	352	"Aspirin 300mg gastro-resistant tablets (Sandoz Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"		"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"October 2010"	2462010
11961	137075001000027104	66031020	22	"Veganin Tablet (Pfizer Consumer Healthcare Ltd)"	"Codeine Phosphate/Paracetamol/Aspirin"	""	"Tablet"	"Oral"	4070100	"Non-Opioid And Compound Analgesics"	"February 2009"	4546001
66563	17786111000001102	2362020	0	"Aspirin 75mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	2090000	"Antiplatelet Products"	"June 2016"	2362020
15367	4915111000001107	73478020	241	"Anadin Extra tablets (GlaxoSmithKline Consumer Healthcare UK Ltd)"	"Aspirin/Paracetamol/Caffeine"	"300mg + 200mg + 45mg"	"Tablet"	"Oral"	4070500	"Other Non Opioid Analgesics"	"February 2009"	6665001
25335	38411000001101	79131020	15566	"PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"		"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"February 2009"	8462002
59728	17423311000001108	2351020	0	"Aspirin 75mg tablets (Alissa Healthcare Research Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	2090000	"Antiplatelet Products"	"April 2014"	2351020
