	MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
3546	105536013	500000	G73z0	G73z000	Intermittent claudication	63491006	105536013	 	32
6102	216185010	60000	662U	662U.00	Peripheral vascular disease monitoring	134379001	216185010	 	1
27699	300515011	100000	G73zz	G73zz00	Peripheral vascular disease NOS	400047006	1779317016	 	32
33171	313563016	200	P76z	P76z.00	Peripheral vascular system anomaly NOS	204492002	313563016	 	32
38433	325063014	300	SP12	SP12.00	Peripheral vascular complications of care	213217008	325063014	 	32
38436	325067010	9	SP12z	SP12z00	Peripheral vascular complications of care NOS	213217008	325063014	 	32
48223	445146016	5000	N14A	N14A.00	Neurogenic claudication	303081002	445146016	 	32
48692	451376017	200	14NB	14NB.00	H/O: Peripheral vascular disease procedure	308071004	451376017	 	32
70178	235911000006116	500000	G73z	G73z.00	Peripheral vascular disease	400047006	1779317016	 	32
86991	616441000006113	4000	C107	C107.00	Peripheral vascular disorder due to diabetes mellitus	421895002	3688501014	 	32
90748	731481000000119	8000	38DJ	38DJ.00	Edinburgh claudication questionnaire	441941004	2817709017	 	3
91042	741071000000112	6000	9m1	9m1..00	Peripheral vascular disease monitoring invitation	376591000000106	741071000000112	 	37
91043	741131000000114	40000	9m10	9m10.00	Peripheral vascular disease monitoring first letter	376621000000109	741131000000114	 	37
99018	906771000006113	300	HNG0172	 	[RFC] Peripheral vascular disease	906771000006109	906771000006113	 	12
118681	1696201000006114	20000	EMISNQPE9	 	Peripheral vascular disease annual review	1696201000006105	1696201000006114	 	1
118682	1696211000006112	300	EMISNQPE10	 	Peripheral vascular disease monitoring administration	1696211000006108	1696211000006112	 	37
118683	1696221000006116	3000	EMISNQPE11	 	Peripheral vascular disease monitoring first letter	1696221000006100	1696221000006116	 	37
118684	1696231000006118	8	EMISNQPE12	 	Peripheral vascular disease monitoring second letter	1696231000006102	1696231000006118	 	37
118685	1696241000006111	4	EMISNQPE13	 	Peripheral vascular disease monitoring third letter	1696241000006107	1696241000006111	 	37
119565	1715241000006112	1000	G73z0-2	G73z012	Vascular claudication	63491006	105536013	 	32
125771	1825131000006118	3	EMISNQFH9	 	FH: Peripheral vascular disease	1825131000006102	1825131000006118	 	7
136398	2231891000000112	10000	9m11	9m11.00	Peripheral vascular disease monitoring second letter	863151000000105	2231891000000112	 	37
136399	2231911000000110	5000	9m12	9m12.00	Peripheral vascular disease monitoring third letter	863161000000108	2231911000000110	 	37
146166	3207251000006119	1	^ESCTJA320725	 	Jaw claudication	43922008	73243013	 	31
149353	3532661000006118	1	^ESCTIC353266	 	IC - Intermittent claudication	63491006	1232467011	 	32
154312	4056731000006118	5	^ESCTVE405673	 	Venous intermittent claudication	95443002	158095014	 	31
199484	8279141000006112	200	^ESCTHO827914	 	H/O intermittent claudication	837591000000108	2174391000000115	 	31
199731	8298661000006115	3	^ESCTPE829866	 	Peripheral vascular disease monitoring verbal invitation	863171000000101	2231931000000119	 	31
199732	8298671000006110	10	^ESCTPE829867	 	Peripheral vascular disease monitoring telephone invitation	863181000000104	2231951000000114	 	31
202784	12224281000006116	5	^ESCT1222428	 	Spinal claudication	303081002	3647245010	 	32
202785	12224291000006118	1	^ESCT1222429	 	Intermittent spinal claudication	303081002	3647246011	 	32
203489	12717471000006112	1	^ESCT1271747	 	Peripheral vascular system anomaly NOS	204492002	313563016	 	32
