snomed_code	snomed_code_description
836711000000108	"Ischaemic lower limb pain at rest (finding)"
822641000000104	"Excepted from peripheral arterial disease quality indicators - patient unsuitable (finding)"
275520000	"Claudication (finding)"
63491006	"Intermittent claudication (finding)"
822671000000105	"Excepted from peripheral arterial disease quality indicators - informed dissent (finding)"
822611000000100	"Exception reporting - peripheral arterial disease quality indicators (finding)"
233961000	"Lower limb ischemia (disorder)"
792855003	"Ulcer of calf due to atherosclerosis of artery of lower limb (disorder)"
840580004	"Peripheral arterial disease (disorder)"
15649901000119104	"Gangrene of right lower limb due to atherosclerosis (disorder)"
723870003	"Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus (disorder)"
792844003	"Limb pain at rest due to atherosclerosis of artery of lower limb (disorder)"
31211000119101	"Peripheral angiopathy due to type 1 diabetes mellitus (disorder)"
12237111000119108	"Pain at rest of left lower limb co-occurrent and due to atherosclerosis (disorder)"
399957001	"Peripheral arterial occlusive disease (disorder)"
233962007	"Critical lower limb ischemia (disorder)"
300917007	"Ischemia of feet (disorder)"
792850008	"Ulcer of ankle due to atherosclerosis of artery of lower limb (disorder)"
307408003	"Ischemic toe (disorder)"
792846001	"Ulcer of heel due to atherosclerosis of artery of lower limb (disorder)"
301755001	"Ischemic foot (disorder)"
400047006	"Peripheral vascular disease (disorder)"
233958001	"Peripheral ischemia (disorder)"
314902007	"Peripheral angiopathy due to type 2 diabetes mellitus (disorder)"
12236991000119104	"Pain at rest of bilateral lower limbs co-occurrent and due to atherosclerosis (disorder)"
312822006	"Critical ischemia of foot (disorder)"
127014009	"Peripheral angiopathy due to diabetes mellitus (disorder)"
34881000119105	"Peripheral vascular disease associated with another disorder (disorder)"
15649991000119104	"Gangrene of left lower limb due to atherosclerosis (disorder)"
307406004	"Trash foot (disorder)"
12237231000119108	"Pain at rest of right lower limb co-occurrent and due to atherosclerosis (disorder)"
15649941000119102	"Gangrene of bilateral lower limbs co-occurrent and due to atherosclerosis (disorder)"
