	MedCodeId	Observations	CleansedReadCode	Term	SnomedCTConceptId
70178	235911000006116	500000	G73z.00	Peripheral vascular disease	400047006
3546	105536013	500000	G73z000	Intermittent claudication	63491006
68393	192131000006114	300000	G730.00	Raynaud's syndrome	195295006
44803	395792010	200000	G730100	Raynaud's phenomenon	266261006
27699	300515011	100000	G73zz00	Peripheral vascular disease NOS	400047006


44802	395791015	70000	G73..00	Other peripheral vascular disease	400047006
6102	216185010	60000	662U.00	Peripheral vascular disease monitoring	134379001
47245	411512011	60000	G73z011	Claudication	63491006
27685	300496013	50000	G730000	Raynaud's disease	195295006


91043	741131000000114	40000	9m10.00	Peripheral vascular disease monitoring first letter	376621000000109
42102	349678018	40000	7A14.11	Aortic aneurysm repair	233370007


17161	272052017	30000	7A4B000	Percutaneous transluminal angioplasty of femoral artery	175715003
91090	742481000006118	30000	G73..12	Ischaemic leg	233961000
127161	1847121000006114	20000	G734.00	Peripheral arterial disease	399957001
118681	1696201000006114	20000	 	Peripheral vascular disease annual review	1696201000006105
17136	271900018	20000	7A44000	Percutaneous transluminal angioplasty of iliac artery	175612005

31117	309180011	20000	M271200	Mixed diabetic ulcer - foot	201252003
44396	394339014	20000	7A48.00	Arterial bypass of lower limb artery	405469008
125087	1813511000006112	10000	9hS1.00	Excepted from peripheral arterial disease quality indicators - informed dissent	822671000000105
42161	350535018	10000	G73..11	Peripheral ischaemic vascular disease	233958001
27690	300505017	10000	G732000	Gangrene of toe	195302000
17142	272013012	10000	7A49200	Femoral endarterectomy	16589005
48548	450665015	10000	2G63.00	Ischaemic toe	307408003
125086	1813501000006114	10000	9hS0.00	Excepted from peripheral arterial disease quality indicators: patient unsuitable	822641000000104
48145	443199013	10000	G733.00	Ischaemic foot	301755001
136398	2231891000000112	10000	9m11.00	Peripheral vascular disease monitoring second letter	863151000000105
31115	309177010	10000	M271000	Ischaemic ulcer diabetic foot	201250006
90748	731481000000119	8000	38DJ.00	Edinburgh claudication questionnaire	441941004
42160	350533013	8000	G73..13	Peripheral ischaemia	233958001
96880	884611000006112	7000	G73z.99	Peripheral vasc. disease NOS	646351000000103
70339	239491000006117	7000	7A4B100	Percutaneous angioplasty of popliteal artery	175716002

27686	300500010	6000	G730z00	Raynaud's syndrome NOS	195295006
91042	741071000000112	6000	9m1..00	Peripheral vascular disease monitoring invitation	376591000000106

34798	317357011	6000	R055500	Septic shock	76571007
17138	271905011	5000	7A44300	Insertion of iliac artery stent	175615007
48223	445146016	5000	N14A.00	Neurogenic claudication	303081002
27691	300506016	5000	G732100	Gangrene of foot	195303005
69863	224121000000118	5000	7A12111	Aortic bifurcation bypass graft	233373009
136399	2231911000000110	5000	9m12.00	Peripheral vascular disease monitoring third letter	863161000000108
42089	349663013	5000	7A48.14	Femoral artery bypass	405463009
