v1	medcodeid	observations	cleansedreadcode	term	snomedctconceptid
63580	24561000006118	70	"7A4Az00"	"Other open operation on femoral or popliteal artery NOS"	118805000
67863	173711000006118	20	"7A11y00"	"Replacement of aneurysmal bifurcation of aorta OS"	175282008
84648	530161000006116	700	"7A48600"	"Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft"	448529008
27688	300503012	80	"G731z00"	"Thromboangiitis obliterans NOS"	52403007
17138	271905011	5000	"7A44300"	"Insertion of iliac artery stent"	175615007
114128	1548131000006114	40	"7A1A600"	"Percutan transluminal aortic stent graft fenestration NEC"	233404000
68614	201761000006112	40	"7A49500"	"Profundoplasty of popliteal artery and patch repair of popliteal artery"	175694005
17133	271891014	400	"7A43200"	"Operation on aneurysm of iliac artery NEC"	265516003
65239	90051000006113	500	"7A4B.00"	"Transluminal operations on femoral artery or popliteal artery"	265530008
84650	530181000006114	50	"7A41A00"	"Bypass iliac artery by aorta/ext iliac art anastomosis NEC"	116360008
16985	271524016	20	"7A1Az00"	"Transluminal operation on aorta NOS"	265499009
66509	132581000006113	500	"G73z100"	"Spasm of peripheral artery"	195313002
87797	639851000006111	4	"7A45100"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using prosthesis"	175621006
42160	350533013	8000	"G73..13"	"Peripheral ischaemia"	233958001
16962	271488017	5	"7A17000"	"Revision of prosthesis of thoracic aorta"	175331008
188132	6632251000006115	1	" "	"Peripheral angiopathy"	399957001
42101	349677011	10	"7A41.11"	"Other bypass of iliac artery by anastomosis"	405477007
87747	639341000006115	50	"7A10000"	"Emergency bypass of aorta by anastomosis of axillary artery to femoral artery"	175276005
184885	6021741000006113	2	" "	"Critical ischemia of foot"	312822006
87755	639421000006116	300	"7A47200"	"Emerg bypass femoral art by fem/pop a anast c vein graft NEC"	112828007
17151	272031013	3000	"7A4A200"	"Open embolectomy of femoral artery"	175704008
27695	300510018	600	"G73y.00"	"Other specified peripheral vascular disease"	400047006
87792	639811000006110	40	"7A13300"	"Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta"	175301002
114129	1548141000006116	10	"7A1A700"	"Percutaneous transluminal aortic stent graft branches NEC"	233404000
27699	300515011	100000	"G73zz00"	"Peripheral vascular disease NOS"	400047006
16978	271511016	1000	"7A19400"	"Operation on aneurysm of aorta NEC"	32907006
67840	173461000006110	20	"7A11100"	"Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery"	175284009
188133	6632271000006113	5	" "	"Peripheral artery occlusive disease"	399957001
87759	639461000006110	50	"7A47C00"	"Emerg bypass femoral artery by fem/fem art anastomosis NEC"	116360008
47002	410964019	50	"7A42011"	"Endarterectomy and patch repair of common iliac artery"	275041004
87780	639701000006116	2	"7A40500"	"Emergency replacement of aneurysmal iliac artery by anastomosis of aorta to external iliac artery"	175567002
16954	271470013	300	"7A14z00"	"Other replacement of aneurysmal segment of aorta NOS"	450682002
87813	640151000006114	9	"7A45.15"	"Emergency replacement of aneurysmal superficial femoral artery"	233365000
87784	639731000006112	60	"7A13000"	"Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta"	175298001
42106	349717014	8	"7A40.11"	"Replacement of aneurysmal iliac artery by anastomosis"	233388004
125771	1825131000006118	3	" "	"FH: Peripheral vascular disease"	1825131000006102
87763	639501000006110	4	"7A41800"	"Emerg bypass iliac artery by iliac/iliac art anastomosis NEC"	447920002
44396	394339014	20000	"7A48.00"	"Arterial bypass of lower limb artery"	405469008
16950	271445013	200	"7A12z00"	"Other bypass of bifurcation of aorta NOS"	233373009
65068	84781000006112	2	"C108G11"	"Type I diabetes mellitus with peripheral angiopathy"	31211000119101
91043	741131000000114	40000	"9m10.00"	"Peripheral vascular disease monitoring first letter"	376621000000109
95145	866141000006114	20	"7A4B699"	"L-direct femoral arteriogram"	265531007
70135	233221000006115	80	"7A1A.11"	"Percutaneous transluminal operations on aorta"	265499009
115598	1587761000006113	300	"7A1C200"	"Repair of thoracic aortic aneurysm with insertion of endovascular stent graft"	429679003
42094	349668016	20	"7A47.15"	"Other emergency bypass of superficial femoral artery"	116360008
50441	459308015	200	"C10FF00"	"Type 2 diabetes mellitus with peripheral angiopathy"	314902007
67852	173581000006118	4	"7A40C00"	"Replace aneurysm leg artery by aorta/sup fem art anast NEC"	116360008
115597	1587751000006111	50	"7A1C100"	"Endovascular insertion of stent graft for suprarenal aortic aneurysm"	281281000000101
205190	13944841000006116	500	" "	"Peripheral arterial disease"	840580004
84655	530221000006117	100	"7A41B00"	"Bypass leg artery by aorta/com femoral art anastomosis NEC"	116360008
16973	271505019	200	"7A18z00"	"Plastic repair of aorta NOS"	175337007
91042	741071000000112	6000	"9m1..00"	"Peripheral vascular disease monitoring invitation"	376591000000106
63875	36061000006118	700	"7A48y00"	"Other bypass of femoral artery or popliteal artery OS"	405469008
27693	300508015	60	"G732300"	"Gangrene of thumb"	195305003
17167	272071015	300	"7A4y.00"	"Other specified operations on iliac and femoral artery"	265511008
84636	530051000006117	300	"7A10100"	"Bypass aorta by anastomosis axillary to femoral artery NEC"	233379008
42089	349663013	5000	"7A48.14"	"Femoral artery bypass"	405463009
75843	359711000000116	90	"7A6G700"	"Insertion of vascular closure device"	225281000000106
84645	530141000006115	4000	"7A48200"	"Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft"	50807007
84674	530831000006118	30	"7A48500"	"Bypass popliteal artery by pop/tib a anast c prosthesis NEC"	233384002
27894	300963017	200	"Gyu7400"	"[X]Other specified peripheral vascular diseases"	400047006
27652	300433019	4000	"G702.00"	"Extremity artery atheroma"	195254008
96881	884621000006116	4000	"G73zz99"	"Peripheral vasc. disease NOS"	646351000000103
27712	300550015	4000	"G742z00"	"Peripheral arterial embolism and thrombosis NOS"	195318006
84651	530191000006112	200	"7A41300"	"Bypass iliac artery by femoral/femoral art anastomosis NEC"	233380006
16979	271512011	50	"7A19y00"	"Other specified other open operation on aorta"	32907006
48548	450665015	10000	"2G63.00"	"Ischaemic toe"	307408003
17137	271901019	90	"7A44100"	"Percutaneous transluminal embolectomy of iliac artery"	175613000
67847	173531000006119	5	"7A46400"	"Replace aneurysm fem art by fem/tib art anast c prosth NEC"	233383008
84675	530841000006111	100	"7A48700"	"Bypass popliteal artery by pop/tib a anast c vein graft NEC"	233384002
16947	271430018	30	"7A11z00"	"Replacement of aneurysmal bifurcation of aorta NOS"	175282008
47245	411512011	60000	"G73z011"	"Claudication"	63491006
87815	640221000006110	30	"7A13y00"	"Emergency replacement of aneurysmal segment of aorta OS"	175297006
1	302011	3000	"G73y000"	"Diabetic peripheral angiopathy"	127014009
84644	530131000006113	3000	"7A48000"	"Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis"	312688006
38436	325067010	9	"SP12z00"	"Peripheral vascular complications of care NOS"	213217008
17153	272033011	2000	"7A4A212"	"Open femoral embolectomy"	175704008
87783	639721000006114	50	"7A13400"	"Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC"	123679006
69899	225491000006118	200	"7A18000"	"Plastic repair of aorta and end to end anastomosis of aorta"	175338002
87748	639351000006118	9	"7A15400"	"Emerg bypass abdominal aorta by anastom aorta to aorta NEC"	448122008
47007	410969012	5	"7A46.15"	"Other replacement of aneurysmal superficial femoral artery"	405463009
2955	87210015	4000	"G731000"	"Buerger's disease"	52403007
118684	1696231000006118	8	" "	"Peripheral vascular disease monitoring second letter"	1696231000006102
125085	1813491000006118	2000	"9hS..00"	"Exception reporting - peripheral arterial disease quality indicators"	822611000000100
12972	262274019	1000	"55A2.00"	"Lower limb arteriogram abnormal"	168957001
92562	787101000006114	100	"C107300"	"IDDM with peripheral circulatory disorder"	421895002
83424	488631000006116	600	"7A12311"	"Aorto biiliac graft"	265495003
42088	349662015	2000	"7A48.15"	"Popliteal-distal bypass"	233384002
17158	272038019	400	"7A4A600"	"Operation on popliteal artery NEC"	118805000
84637	530061000006115	1000	"7A12100"	"Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery"	448171003
87800	639881000006115	20	"7A45D00"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to femoral artery"	175633001
115600	1587781000006115	400	"7A1C400"	"Insertion of arterial stent"	233404000
31115	309177010	10000	"M271000"	"Ischaemic ulcer diabetic foot"	201250006
63779	32181000006113	40	"7A47.11"	"Other emerg bypass femoral or popliteal art by anastomosis"	116360008
27893	300962010	1000	"Gyu7300"	"Arterial aneurysm"	233981004
87764	639511000006113	3	"7A15300"	"Emerg bypass infrarenal aorta by anastom aorta to aorta NEC"	449530008
16966	271492012	10	"7A17y00"	"Other specified attention to prosthesis of aorta"	175330009
70339	239491000006117	7000	"7A4B100"	"Percutaneous angioplasty of popliteal artery"	175716002
87788	639771000006110	10	"7A45C00"	"Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to femoral artery"	175632006
12969	262265016	2000	"5593.00"	"Femoral arteriogram abnormal"	168953002
47000	410961010	400	"7A12112"	"Dacron aortofemoral Y graft"	275038008
