v1	medcode	clinicalevents	readcode	readterm
41197	1517	139116	"G73z000"	"Intermittent claudication"
29372	106660	2139	"9m11.00"	"Peripheral vascular disease monitoring second letter"
107248	18060	2478	"7A48.14"	"Other bypass of femoral artery"
45723	2760	57752	"G73zz00"	"Peripheral vascular disease NOS"
98497	44430	91	"7A42111"	"Endarterectomy of common iliac artery NEC"
42699	65692	12	"7A47y00"	"Other emergency bypass of femoral or popliteal artery OS"
54241	14796	344	"R055000"	"[D]Failure of peripheral circulation"
81513	6356	8915	"7A4B000"	"Percutaneous transluminal angioplasty of femoral artery"
83585	97606	2	"7A47.15"	"Other emergency bypass of superficial femoral artery"
61658	104270	4585	"9hS1.00"	"Except frm peripheral arter dis qual indicat: inform dissent"
9103	43648	8	"7A41211"	"Emergency femoro-femoral prosthetic cross over graft"
16600	96472	3	"7A46000"	"Replace aneurysm fem art by fem/pop art anastom c prosth NEC"
62281	69346	44	"7A46.00"	"Other replacement of aneurysmal femoral artery"
50766	69124	46	"C107300"	"IDDM with peripheral circulatory disorder"
107826	16148	224	"SP12.00"	"Peripheral vascular complications of care"
15281	63357	232	"C107100"	"Diabetes mellitus, adult, + peripheral circulatory disorder"
96872	16991	1617	"7A4..00"	"Iliac and femoral artery operations"
83909	12735	681	"G732100"	"Gangrene of foot"
104505	31613	260	"7A13.00"	"Emergency replacement of aneurysmal segment of aorta"
26321	99859	13	"7A1BC00"	"Endovas insert stent for aortic aneurysm of bifurcation NEC"
98101	61974	41	"7A48.11"	"Other bypass of femoral or popliteal artery by anastomosis"
74313	49878	104	"7A18100"	"Plastic repair of aorta using subclavian flap"
63620	30989	57	"7A41311"	"Femoro-femoral prosthetic cross over graft"
107216	40732	38	"7A48.16"	"Other bypass of superficial femoral artery"
41779	42444	20	"7A14100"	"Replace aneurysm thoracic aorta by anast of aorta/aorta NEC"
41356	39749	150	"7A43200"	"Operation on aneurysm of iliac artery NEC"
105214	56495	8	"7A11100"	"Replace aneurysm bifurc aorta by anast aorta to femoral art"
73913	38921	35	"7A41z00"	"Other bypass of iliac artery NOS"
89630	94784	6	"7A45.15"	"Emergency replacement aneurysmal superficial femoral artery"
94739	24229	387	"7A44400"	"Percutaneous transluminal insertion of iliac artery stent"
12016	90504	25	"7A18500"	"Plastic repair of aorta and insertion of tube graft"
461	93627	3	"7A1Cz00"	"Translum ins stent graft for aneurysmal segment of aorta NOS"
9552	49943	61	"7A44200"	"Arteriography of iliac artery"
2994	103044	1	"7A45y00"	"Emergency replacement aneurysmal femoral/popliteal artery OS"
25391	48755	10	"7A12000"	"Emerg bypass bifurc aorta by anast aorta to femoral artery"
54364	55445	28	"7A14y00"	"Other replacement of aneurysmal segment of aorta OS"
55390	24723	632	"7A4B600"	"Arteriography of femoral artery"
98622	51124	107	"7A4A400"	"Ligation of aneurysm of popliteal artery"
55773	94556	6	"7A46y00"	"Other replacement of aneurysmal femoral/popliteal artery OS"
102943	72448	11	"7A41200"	"Emerg bypass iliac artery by femoral/femoral art anast NEC"
50049	16260	131	"G702z00"	"Extremity artery atheroma NOS"
27156	66437	23	"7A43011"	"Repair of common iliac artery NEC"
69816	90549	9	"7A1B400"	"Endovascular stenting of aortic bifurcation NEC"
57576	63238	1	"7A47.13"	"Other emergency bypass of deep femoral artery"
86926	34152	286	"G73y000"	"Diabetic peripheral angiopathy"
16318	66804	9	"7A41C00"	"Bypass leg artery by aorta/deep femoral art anastomosis NEC"
51969	30296	455	"7A1A000"	"Percutaneous transluminal balloon angioplasty of aorta"
7323	99727	2	"7A40A00"	"Replace aneurysm iliac art by aorta/ext iliac art anast NEC"
73864	24677	128	"7A4Ay00"	"Other open operation on femoral or popliteal artery OS"
66083	42465	17	"7A12312"	"Dacron aortoiliac Y graft"
59233	54899	4	"C109F11"	"Type II diabetes mellitus with peripheral angiopathy"
11599	106260	11842	"9m10.00"	"Peripheral vascular disease monitoring first letter"
57573	11766	239	"7A47.16"	"Other emergency bypass of femoral artery"
93265	42645	101	"7A4A311"	"Open thrombectomy of popliteal artery"
41131	5597	239	"7A16400"	"Bypass of abdominal aorta by anastomosis aorta to aorta NEC"
57055	67046	62	"7A18600"	"Repair of interrupted aortic arch"
49544	100036	1	"7A41D00"	"Bypass iliac artery by iliac/iliac artery anastomosis NEC"
114923	23871	14	"G73y100"	"Peripheral angiopathic disease EC NOS"
90284	103347	1	"7A40.11"	"Replacement of aneurysmal iliac artery by anastomosis"
59236	60699	5	"C109F12"	"Type 2 diabetes mellitus with peripheral angiopathy"
52869	66914	25	"7A10.00"	"Extraanatomic bypass of aorta"
37509	111190	1	"7A47900"	"Emerg bypass popliteal art by pop/peron a anast c prosth NEC"
53156	93959	40	"7A1B.00"	"Transluminal operations on aneurysmal segment of aorta"
27365	9881	3179	"M271200"	"Mixed diabetic ulcer - foot"
7356	55825	10	"7A12y00"	"Other specified other bypass of bifurcation of aorta"
74943	42640	204	"7A48y00"	"Other bypass of femoral artery or popliteal artery OS"
35146	73961	31	"Gyu7400"	"[X]Other specified peripheral vascular diseases"
37955	18051	86	"7A19300"	"Operation on aortic body"
85851	14797	4961	"G702.00"	"Extremity artery atheroma"
18774	44528	9	"SP12z00"	"Peripheral vascular complications of care NOS"
53141	109425	4	"Gyu7500"	"[X]Embolism and thrombosis of other arteries"
86053	89470	0	"7A45700"	"Emerg replace aneurysm pop art by pop/tib anast c vein graft"
60984	102684	92	"7A10400"	"Bypass aorta anastomosis axillary artery bi femoral arteries"
67403	96699	2	"7A40000"	"Emerg replace aneurysm iliac art by iliac/femoral art anast"
66253	22016	991	"7A48E00"	"Femoro-femoral prosthetic cross over graft"
7345	19996	107	"7A14400"	"Replace aneurysm abdominal aorta by anast aorta to aorta NEC"
81572	60693	4	"7A47300"	"Emerg bypass pop art by pop/pop art anast c vein graft NEC"
